tekst
"Kiedy wrócił z pracy, od razu zauważył, że w domu panuje dziwna cisza."
"Po latach nieobecności wróciła do rodzinnego miasta, które zmieniło się nie do poznania."
"Gdyby wiedział wcześniej, że spotkanie jest odwołane, nie spieszyłby się tak bardzo."
"W lesie, który odwiedzał od dzieciństwa, znalazł niezwykły gatunek grzyba."
"Jeśli teraz nie zdecydujemy się na zmiany, może być za późno."
"Chociaż starała się jak mogła, nie udało jej się przekonać kolegi do swojego pomysłu."
W pokoju pełnym książek znalazła stare zdjęcie swoich dziadków.
"Jeżeli zadzwonisz do niej dzisiaj, być może zdąży jeszcze do nas dołączyć."
"Pomimo trudności, jakie napotkała, nie poddała się i walczyła do końca."
"Gdyby nie zapomniał kluczy, nie musiałby czekać na otwarcie drzwi przez sąsiada."
"Na targu, gdzie sprzedawano świeże warzywa, zawsze panowała wyjątkowa atmosfera."
"Jeśli będziemy współpracować, możemy osiągnąć naprawdę wiele."
"Chociaż był zmęczony, postanowił pomóc przyjaciółce w przeprowadzce."
"W kawiarni, którą otwarto zaledwie tydzień temu, było zaskakująco tłoczno."
"Jeżeli wybierzemy inną trasę, być może uda nam się uniknąć korków."
Po wysłuchaniu wykładu poczuła się zainspirowana do działania.
"Pomimo że padał deszcz, dzieci bawiły się na dworze jakby nic się nie działo."
"Kiedy dowiedział się o jej sukcesie, od razu postanowił jej pogratulować."
"Na peronie, który wypełniły tłumy podróżnych, panował chaos."
"Jeśli nie spróbujesz, nigdy się nie dowiesz, czy było warto."
"Choć była to trudna decyzja, wiedziała, że musi ją podjąć."
"W parku, który był jej ulubionym miejscem na spacery, spotkała dawnego znajomego."
"Jeżeli będziesz się starał, na pewno zauważą twoje zaangażowanie."
Pomimo ostrzeżeń postanowili kontynuować swoją wyprawę w góry.
"Gdyby mieli więcej czasu, mogliby lepiej przygotować się do prezentacji."
"W kinie, które niedawno otwarto, grają najnowsze filmy w doskonałej jakości."
"Kiedy otworzyła drzwi, zobaczyła, że na progu leży tajemnicza paczka."
"Pomimo braku doświadczenia, zgłosił się do udziału w prestiżowym konkursie."
"Jeśli jutro będzie padać, zostaniemy w domu i obejrzymy film."
"Chociaż nie miała ochoty, zgodziła się pójść na spotkanie klasowe."
"W książce, którą właśnie przeczytała, znalazła wiele inspirujących cytatów."
"Gdyby wcześniej sprawdził rozkład jazdy, nie musiałby czekać na przystanku tak długo."
"Po tygodniach intensywnej pracy, nadszedł wreszcie czas na zasłużony odpoczynek."
"W restauracji, w której pracowała, zawsze panował serdeczny nastrój."
"Jeżeli zrealizujemy ten projekt na czas, możemy liczyć na dodatkową premię."
"Choć miał wątpliwości, postanowił zaufać swojemu instynktowi."
"Kiedy weszła do pomieszczenia, wszyscy zamilkli i spojrzeli na nią z zainteresowaniem."
"Pomimo złych prognoz, pogoda na wycieczce okazała się być idealna."
"Gdyby nie jej odwaga, cała sytuacja mogłaby się zakończyć zupełnie inaczej."
"W ogrodzie botanicznym, który odwiedziła po raz pierwszy, znalazła mnóstwo egzotycznych roślin."
"Jeśli zadzwonisz do nich teraz, możesz jeszcze zdążyć na spotkanie."
"Chociaż od dawna chciała odwiedzić to miejsce, nigdy wcześniej nie miała na to czasu."
"W kinie, które niedawno zostało odnowione, widzowie mieli do dyspozycji nowoczesne fotele."
"Po długim spacerze nad jeziorem, usiedli na ławce i delektowali się ciszą."
"Jeżeli podejmiemy wspólną decyzję, unikniemy późniejszych nieporozumień."
"Choć nie było łatwo, udało im się znaleźć rozwiązanie problemu."
"Kiedy przeglądała stare fotografie, przypomniała sobie wiele zapomnianych chwil."
"Pomimo licznych prób, nie udało mu się znaleźć pracy w swoim zawodzie."
"Gdyby miał więcej czasu, chętnie pomógłby w przygotowaniach do ślubu."
"Na festiwalu, który odbywał się co roku, zebrały się tłumy ludzi z całego świata."
"Jeśli teraz nie zarezerwujemy miejsc, później może być za późno."
"Choć znała go od lat, nigdy wcześniej nie widziała go tak zdenerwowanego."
"W muzeum, które odwiedzili podczas wakacji, mieli okazję zobaczyć unikalne eksponaty."
"Kiedy usłyszał hałas, od razu pobiegł sprawdzić, co się stało."
"Pomimo zmęczenia, zdecydowała się dokończyć pracę przed snem."
"Gdyby była bardziej ostrożna, uniknęłaby wielu nieprzyjemności."
"W kawiarni, gdzie zawsze zamawiała swoje ulubione ciasto, spotkała dawną koleżankę."
"Jeśli dobrze zaplanujemy trasę, uda nam się zobaczyć wszystkie interesujące miejsca."
"Chociaż nie przepadała za koncertami, zgodziła się towarzyszyć przyjaciółce."
"W sali, którą przygotowano na przyjęcie, panował wyjątkowy nastrój."
"Po wielu latach spędzonych za granicą, postanowił wrócić do rodzinnego miasta."
"Jeżeli będziemy działać razem, z pewnością osiągniemy zamierzony cel."
"Chociaż pogoda była niepewna, nie zrezygnowali z planów wyjazdowych."
"Kiedy włączył radio, usłyszał swoją ulubioną piosenkę z młodości."
"Pomimo trudnych początków, jego firma zaczęła odnosić sukcesy."
"Gdyby ktoś wcześniej uprzedził ich o zmianie planów, wszystko potoczyłoby się inaczej."
"Na targu, gdzie można było kupić świeże owoce, zawsze panował gwar i ruch."
"Jeśli przeznaczymy więcej czasu na przygotowania, unikniemy pośpiechu w ostatniej chwili."
"Choć nie była to łatwa decyzja, wiedzieli, że postępują właściwie."
"W galerii sztuki, którą odwiedzili w weekend, odkryli prace młodych artystów."
"Po zakończeniu remontu, ich mieszkanie wyglądało zupełnie inaczej."
"Jeżeli nie spróbujesz, nigdy nie dowiesz się, czy to było możliwe."
"Chociaż od dawna planowali ten wyjazd, musieli go odwołać z powodu choroby."
"W lesie, gdzie spędzali wakacje, odkryli malownicze ścieżki spacerowe."
